title,author,file
Stoicism: The Philosophy Of Calmness,George Muntau,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/stoicism_the_philosophy_of_calmness/stoicism_the_philosophy_of_calmness.mp3
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/why_nations_fail_the_origins_of_power_prosperity_and_poverty/why_nations_fail_the_origins_of_power_prosperity_and_poverty.mp3
Brave New World,Aldous Huxley,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/brave_new_world/brave_new_world.mp3
The Truth: An Uncomfortable Book About Relationships,Neil Strauss,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/the_truth_an_uncomfortable_book_about_relationships/the_truth_an_uncomfortable_book_about_relationships.mp3
Robin,Dave Itzkoff,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/robin/robin.mp3
Think Like a Freak,Steven D. Levitt,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/think_like_a_freak/think_like_a_freak.mp3
Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,Brené Brown,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/braving_the_wilderness_the_quest_for_true_belonging_and_the_courage_to_stand_alone/braving_the_wilderness_the_quest_for_true_belonging_and_the_courage_to_stand_alone.mp3
"Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life in Organisms, Cities, Economies, and Companies",Geoffrey West,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/scale_the_universal_laws_of_growth_innovation_sustainability_and_the_pace_of_life_in_organisms_cities_economies_and_companies/scale_the_universal_laws_of_growth_innovation_sustainability_and_the_pace_of_life_in_organisms_cities_economies_and_companies.mp3
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/essentialism_the_disciplined_pursuit_of_less/essentialism_the_disciplined_pursuit_of_less.mp3
Success Through Stillness: Meditation Made Simple,Russell Simmons,/Volumes/sambashare/Sorted Media/Audiobooks/Sorted/Non Fiction/success_through_stillness_meditation_made_simple/success_through_stillness_meditation_made_simple.mp3
