uuid_1,uuid_2,title,subtitle,author_1_given_name,author_1_middle_name,author_1_surname,author_2_given_name,author_2_middle_name,author_2_surname
bot:1be99c8f-b541-4c32-93e5-0197dd7654b1,aud:9d851499-866c-4371-b9ee-0d9bc8d9aba2,1.0,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,0.0,0.0
bot:1c0a4023-8634-41ea-ae88-1b49b836347d,aud:85fd156f-866f-4b3d-b10e-9af7be531164,0.0,0.11076495347831822,1.0,0.0,1.0,0.0,0.0,0.0
bot:1cea40e6-6e92-4885-a15e-162b0f10ba37,aud:295dde06-1937-4dfd-9a5a-4e6cf285e613,0.032484441102114146,0.0,0.0,0.0,0.783562841608779,0.0,0.0,0.0
bot:1cea40e6-6e92-4885-a15e-162b0f10ba37,aud:3b96c30b-d9b6-4330-a0e2-7e0bd5feffb1,0.017193409853674412,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
bot:1cea40e6-6e92-4885-a15e-162b0f10ba37,aud:e82e5be9-de17-402d-948d-1d3dcfd03577,0.0,0.0,0.0,0.0,0.783562841608779,0.0,0.0,0.0
bot:1cea40e6-6e92-4885-a15e-162b0f10ba37,aud:ed479a9c-1c72-42a9-8305-cfe7b46ab3f5,0.035218906295551994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:1d49888d-a31a-46c4-a401-99c7b4e3a9f7,aud:fbc01889-7361-439f-96b3-72f23bc47a5a,0.14455081952169913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:1d719df2-7ece-43fb-a231-26d55df88f0b,aud:982a9a5a-8823-47b9-9c88-850863d6ded6,0.0,0.0,0.0,0.0,0.3845604981144398,0.0,0.0,0.0
bot:1d7835a8-381e-44d5-9aec-113e20bc74c3,aud:7b54a2ff-3b51-4a7a-ab1c-cc6d29db1a12,0.10187178404813421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:1d7835a8-381e-44d5-9aec-113e20bc74c3,aud:ae6b776a-58d8-4520-a3cd-40d8bb9183a4,0.013086723654144667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot:1df33b06-74ee-49be-a363-b9db50efe74b,aud:65844882-d869-4a5c-9216-b2e36d74660a,1.0,0.0,1.0000000000000002,0.0,1.0,0.0,0.0,0.0
bot:1ee5f9e7-3556-44fa-86fa-e00c837969dd,aud:982a9a5a-8823-47b9-9c88-850863d6ded6,0.019734193666964616,0.0,0.0,0.0,0.6846307101493622,0.0,0.0,0.0
bot:2180a48f-e772-4ca9-abe2-6d3c837637ac,aud:1e8c0778-f3fe-4227-b084-32925bb732f6,1.0,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,0.0,0.0
